pm[0] = 267.968 pm[1] = -314.040 pm[2] = 0.010  t = 20
pe[0] = -3.520 pe[1] = -3.520 pe[2] = -3.520  t = 20
pm[0] = -305.848 pm[1] = -260.259 pm[2] = 0.012  t = 21
pe[0] = -3.520 pe[1] = -3.520 pe[2] = -3.520  t = 21
pm[0] = -232.290 pm[1] = -285.916 pm[2] = 266.570  t = 21
pe[0] = -3.520 pe[1] = -3.520 pe[2] = -3.520  t = 21
pm[0] = -163.936 pm[1] = -282.395 pm[2] = -327.705  t = 21
pe[0] = -3.520 pe[1] = -3.520 pe[2] = -3.520  t = 21
pm[0] = -39.109 pm[1] = -367.729 pm[2] = 261.321  t = 22
pe[0] = -3.520 pe[1] = -3.520 pe[2] = -3.520  t = 22
pm[0] = -67.311 pm[1] = -387.370 pm[2] = -202.047  t = 22
pe[0] = -3.520 pe[1] = -3.520 pe[2] = -3.520  t = 22
pm[0] = -73.453 pm[1] = -321.535 pm[2] = 345.498  t = 20
pe[0] = -3.520 pe[1] = -3.520 pe[2] = -3.520  t = 21
pm[0] = -80.349 pm[1] = -286.351 pm[2] = 382.639  t = 21
pe[0] = -3.520 pe[1] = -3.520 pe[2] = -3.520  t = 21
pm[0] = -253.696 pm[1] = -325.178 pm[2] = 0.423  t = 21
pe[0] = -3.520 pe[1] = -3.520 pe[2] = -3.520  t = 21
pm[0] = -228.824 pm[1] = -280.072 pm[2] = -292.348  t = 21
pe[0] = -3.520 pe[1] = -3.520 pe[2] = -3.520  t = 21
pm[0] = 124.223 pm[1] = -322.225 pm[2] = -328.296  t = 21
pe[0] = -3.520 pe[1] = -3.520 pe[2] = -3.520  t = 21
pm[0] = 316.434 pm[1] = -261.901 pm[2] = -0.828  t = 21
pe[0] = -3.520 pe[1] = -3.520 pe[2] = -3.520  t = 21
pm[0] = -91.523 pm[1] = -302.809 pm[2] = -370.686  t = 21
pe[0] = -3.520 pe[1] = -3.520 pe[2] = -3.520  t = 21
pm[0] = -211.876 pm[1] = -225.635 pm[2] = -357.871  t = 21
pe[0] = -3.520 pe[1] = -3.520 pe[2] = -3.520  t = 21
pm[0] = -234.632 pm[1] = -152.414 pm[2] = 383.660  t = 22
pe[0] = -3.520 pe[1] = -3.520 pe[2] = -3.520  t = 22
pm[0] = -108.257 pm[1] = -300.722 pm[2] = -350.805  t = 23
pe[0] = -3.520 pe[1] = -3.520 pe[2] = -3.520  t = 23
pm[0] = 27.596 pm[1] = -410.058 pm[2] = 0.010  t = 21
pe[0] = -3.520 pe[1] = -3.520 pe[2] = -3.520  t = 21
pm[0] = 78.191 pm[1] = -405.948 pm[2] = 0.026  t = 21
pe[0] = -3.520 pe[1] = -3.520 pe[2] = -3.520  t = 21
pm[0] = 142.668 pm[1] = -389.866 pm[2] = 0.018  t = 21
pe[0] = -3.520 pe[1] = -3.520 pe[2] = -3.520  t = 21
pm[0] = 112.365 pm[1] = -400.345 pm[2] = 0.023  t = 21
pe[0] = -3.520 pe[1] = -3.520 pe[2] = -3.520  t = 21
pm[0] = 153.010 pm[1] = -389.316 pm[2] = 0.011  t = 21
pe[0] = -3.520 pe[1] = -3.520 pe[2] = -3.520  t = 21
pm[0] = 147.284 pm[1] = -392.638 pm[2] = 0.034  t = 21
pe[0] = -3.520 pe[1] = -3.520 pe[2] = -3.520  t = 21
pm[0] = 119.754 pm[1] = -406.908 pm[2] = 0.014  t = 21
pe[0] = -3.520 pe[1] = -3.520 pe[2] = -3.520  t = 21
pm[0] = 70.936 pm[1] = -416.890 pm[2] = 0.014  t = 21
pe[0] = -3.520 pe[1] = -3.520 pe[2] = -3.520  t = 21
pm[0] = 97.081 pm[1] = -416.880 pm[2] = 0.064  t = 22
pe[0] = -3.520 pe[1] = -3.520 pe[2] = -3.520  t = 22
pm[0] = 83.402 pm[1] = -412.456 pm[2] = 0.025  t = 21
pe[0] = -3.520 pe[1] = -3.520 pe[2] = -3.520  t = 21
pm[0] = 124.483 pm[1] = -406.534 pm[2] = 0.011  t = 20
pe[0] = -3.520 pe[1] = -3.520 pe[2] = -3.520  t = 20
pm[0] = 139.645 pm[1] = -398.900 pm[2] = 0.011  t = 22
pe[0] = -3.520 pe[1] = -3.520 pe[2] = -3.520  t = 22
pm[0] = 47.572 pm[1] = -422.288 pm[2] = 0.010  t = 21
pe[0] = -3.520 pe[1] = -3.520 pe[2] = -3.520  t = 21
pm[0] = 104.085 pm[1] = -414.154 pm[2] = 0.044  t = 21
pe[0] = -3.520 pe[1] = -3.520 pe[2] = -3.520  t = 21
pm[0] = 77.159 pm[1] = -391.678 pm[2] = 238.546  t = 22
pe[0] = -3.520 pe[1] = -3.520 pe[2] = -3.520  t = 22
pm[0] = 212.442 pm[1] = -365.754 pm[2] = -0.009  t = 22
pe[0] = -3.520 pe[1] = -3.520 pe[2] = -3.520  t = 22
pm[0] = 233.285 pm[1] = -355.148 pm[2] = 0.103  t = 21
pe[0] = -3.520 pe[1] = -3.520 pe[2] = -3.520  t = 21
pm[0] = 264.871 pm[1] = -325.852 pm[2] = -1.501  t = 22
pe[0] = -3.520 pe[1] = -3.520 pe[2] = -3.520  t = 22
pm[0] = 278.613 pm[1] = -310.533 pm[2] = 0.010  t = 21
pe[0] = -3.520 pe[1] = -3.520 pe[2] = -3.520  t = 21
pm[0] = 290.648 pm[1] = -299.412 pm[2] = 0.284  t = 20
pe[0] = -3.520 pe[1] = -3.520 pe[2] = -3.520  t = 21
pm[0] = 288.995 pm[1] = -295.002 pm[2] = -1.485  t = 21
pe[0] = -3.520 pe[1] = -3.520 pe[2] = -3.520  t = 21
pm[0] = 220.302 pm[1] = -300.278 pm[2] = 277.914  t = 22
pe[0] = -3.520 pe[1] = -3.520 pe[2] = -3.520  t = 22
pm[0] = 147.665 pm[1] = -330.174 pm[2] = 306.965  t = 22
pe[0] = -3.520 pe[1] = -3.520 pe[2] = -3.520  t = 23
pm[0] = 222.554 pm[1] = -353.001 pm[2] = 0.032  t = 20
pe[0] = -3.520 pe[1] = -3.520 pe[2] = -3.520  t = 21
